Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,0.31,0.61,0.4462482949177818
75% Corpus,9,0.31,0.9099999999999999,0.4161791145757527
75% Corpus,9,0.31,symmetric,0.4376795017806917
75% Corpus,9,0.61,0.01,0.45325336072885813
75% Corpus,9,0.61,0.31,0.4501472357787951
75% Corpus,9,0.61,0.61,0.45150286867564543
75% Corpus,9,0.61,0.9099999999999999,0.4471471558269511
75% Corpus,9,0.61,symmetric,0.47394604831940546
75% Corpus,9,0.9099999999999999,0.01,0.42086175833513445
75% Corpus,9,0.9099999999999999,0.31,0.45210202283657097
75% Corpus,9,0.9099999999999999,0.61,0.4224876658678993
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4225171210582518
75% Corpus,9,0.9099999999999999,symmetric,0.4450294053831157
75% Corpus,9,symmetric,0.01,0.40305182699376874
75% Corpus,9,symmetric,0.31,0.3925487545882186
75% Corpus,9,symmetric,0.61,0.4227561606078528
75% Corpus,9,symmetric,0.9099999999999999,0.4054922843236663
75% Corpus,9,symmetric,symmetric,0.40797903474756403
75% Corpus,9,asymmetric,0.01,0.4008203864087069
75% Corpus,9,asymmetric,0.31,0.3533142710769066
75% Corpus,9,asymmetric,0.61,0.35998371965679915
75% Corpus,9,asymmetric,0.9099999999999999,0.36761091005625474
75% Corpus,9,asymmetric,symmetric,0.41014681348943594
75% Corpus,10,0.01,0.01,0.3839707941573557
75% Corpus,10,0.01,0.31,0.39619118752519655
75% Corpus,10,0.01,0.61,0.4051840581851849
75% Corpus,10,0.01,0.9099999999999999,0.37327140728381325
75% Corpus,10,0.01,symmetric,0.403611098082538
75% Corpus,10,0.31,0.01,0.437057604024656
75% Corpus,10,0.31,0.31,0.4222893285362411
75% Corpus,10,0.31,0.61,0.43532690284665565
75% Corpus,10,0.31,0.9099999999999999,0.4404144607278774
75% Corpus,10,0.31,symmetric,0.43266688740330367
75% Corpus,10,0.61,0.01,0.4645595408796547
75% Corpus,10,0.61,0.31,0.459230020027716
75% Corpus,10,0.61,0.61,0.4649691208575226
75% Corpus,10,0.61,0.9099999999999999,0.4477765555970537
75% Corpus,10,0.61,symmetric,0.47073537244696173
75% Corpus,10,0.9099999999999999,0.01,0.42670025928253547
75% Corpus,10,0.9099999999999999,0.31,0.4419932066038402
75% Corpus,10,0.9099999999999999,0.61,0.43317267129797177
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.41171000157636695
75% Corpus,10,0.9099999999999999,symmetric,0.44203400578754914
75% Corpus,10,symmetric,0.01,0.41304053136083424
