Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.31,0.01,0.37973851578309376
75% Corpus,5,0.31,0.31,0.36770591610121095
75% Corpus,5,0.31,0.61,0.41857920561944617
75% Corpus,5,0.31,0.9099999999999999,0.45960347902813947
75% Corpus,5,0.31,symmetric,0.3795090429803585
75% Corpus,5,0.61,0.01,0.3543858732826933
75% Corpus,5,0.61,0.31,0.3962337867613079
75% Corpus,5,0.61,0.61,0.4277736256244447
75% Corpus,5,0.61,0.9099999999999999,0.4095495281188707
75% Corpus,5,0.61,symmetric,0.36569383419328655
75% Corpus,5,0.9099999999999999,0.01,0.333296480583681
75% Corpus,5,0.9099999999999999,0.31,0.3459544372145017
75% Corpus,5,0.9099999999999999,0.61,0.37523129505702973
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3836676739078114
75% Corpus,5,0.9099999999999999,symmetric,0.37197236495135033
75% Corpus,5,symmetric,0.01,0.40267019757720773
75% Corpus,5,symmetric,0.31,0.3598134791975603
75% Corpus,5,symmetric,0.61,0.39326099581177526
75% Corpus,5,symmetric,0.9099999999999999,0.4572869569974265
75% Corpus,5,symmetric,symmetric,0.3847336103653262
75% Corpus,5,asymmetric,0.01,0.3645186432073614
75% Corpus,5,asymmetric,0.31,0.3401242321738124
75% Corpus,5,asymmetric,0.61,0.42735582623560264
75% Corpus,5,asymmetric,0.9099999999999999,0.4630955245614456
75% Corpus,5,asymmetric,symmetric,0.3777290345216704
75% Corpus,6,0.01,0.01,0.3850315918212964
75% Corpus,6,0.01,0.31,0.39006338257191897
75% Corpus,6,0.01,0.61,0.39039081646104307
75% Corpus,6,0.01,0.9099999999999999,0.37967817935428233
75% Corpus,6,0.01,symmetric,0.3753730680838213
75% Corpus,6,0.31,0.01,0.389665859076199
75% Corpus,6,0.31,0.31,0.3585210914715806
75% Corpus,6,0.31,0.61,0.41226711018979456
75% Corpus,6,0.31,0.9099999999999999,0.4737638668392167
75% Corpus,6,0.31,symmetric,0.3876944419507241
75% Corpus,6,0.61,0.01,0.38615903345032593
75% Corpus,6,0.61,0.31,0.3977155224732334
75% Corpus,6,0.61,0.61,0.4185395818847595
75% Corpus,6,0.61,0.9099999999999999,0.4151079418312723
75% Corpus,6,0.61,symmetric,0.3936361996012945
75% Corpus,6,0.9099999999999999,0.01,0.3657600160913275
75% Corpus,6,0.9099999999999999,0.31,0.33844170756473124
75% Corpus,6,0.9099999999999999,0.61,0.36557740522623006
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.42799598577696074
75% Corpus,6,0.9099999999999999,symmetric,0.3625001522688319
75% Corpus,6,symmetric,0.01,0.39465252011630525
75% Corpus,6,symmetric,0.31,0.3991629880075749
75% Corpus,6,symmetric,0.61,0.3914716368387654
75% Corpus,6,symmetric,0.9099999999999999,0.4192315776536115
75% Corpus,6,symmetric,symmetric,0.3614736533532291
75% Corpus,6,asymmetric,0.01,0.38247475142973403
75% Corpus,6,asymmetric,0.31,0.35151470227582665
75% Corpus,6,asymmetric,0.61,0.3832413233297503
75% Corpus,6,asymmetric,0.9099999999999999,0.4460602571828073
75% Corpus,6,asymmetric,symmetric,0.36073975223293525
